year,month,day,confirm
2014,5,18,1
2014,5,20,2
2014,5,21,4
2014,5,22,6
2014,5,23,1
2014,5,24,2
2014,5,26,10
2014,5,27,8
2014,5,28,2
2014,5,29,12
2014,5,30,7
2014,5,31,2
2014,6,1,5
2014,6,2,2
2014,6,3,1
2014,6,5,3
2014,6,6,7
2014,6,7,4
2014,6,8,6
2014,6,9,1
2014,6,10,29
2014,6,11,1
2014,6,12,10
2014,6,13,20
2014,6,14,17
2014,6,15,4
2014,6,16,1
2014,6,17,4
2014,6,18,8
2014,6,19,11
2014,6,20,9
2014,6,21,3
2014,6,22,3
2014,6,23,2
2014,6,24,9
2014,6,25,9
2014,6,26,14
2014,6,27,15
2014,6,28,21
2014,6,29,9
2014,6,30,15
2014,7,1,12
2014,7,2,11
2014,7,3,4
2014,7,4,11
2014,7,5,17
2014,7,6,9
2014,7,7,18
2014,7,8,11
2014,7,9,8
2014,7,10,14
2014,7,11,8
2014,7,12,7
2014,7,13,4
2014,7,14,7
2014,7,15,5
2014,7,16,7
2014,7,17,8
2014,7,18,10
2014,7,19,13
2014,7,20,13
2014,7,21,18
2014,7,22,9
2014,7,23,13
2014,7,24,10
2014,7,25,40
2014,7,26,8
2014,7,27,7
2014,7,28,14
2014,7,29,9
2014,7,30,14
2014,7,31,12
2014,8,1,12
2014,8,2,15
2014,8,3,14
2014,8,4,5
2014,8,5,13
2014,8,6,8
2014,8,7,8
2014,8,8,13
2014,8,9,8
2014,8,10,13
2014,8,11,4
2014,8,12,9
2014,8,13,6
2014,8,14,8
2014,8,15,5
2014,8,16,1
2014,8,17,5
2014,8,18,17
2014,8,19,18
2014,8,20,35
2014,8,21,18
2014,8,22,16
2014,8,23,18
2014,8,24,38
2014,8,25,25
2014,8,26,42
2014,8,27,16
2014,8,28,26
2014,8,29,30
2014,8,30,23
2014,8,31,24
2014,9,1,29
2014,9,2,29
2014,9,3,43
2014,9,4,41
2014,9,5,15
2014,9,6,44
2014,9,7,30
2014,9,8,42
2014,9,9,38
2014,9,10,21
2014,9,11,39
2014,9,12,37
2014,9,13,38
2014,9,14,49
2014,9,15,68
2014,9,16,84
2014,9,17,56
